file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,capsid_radius_px,has_capsid
VLP17_0001.dm4,16.02773826458037,1211.074679943101,14.959854011607979,21.15522866750463,15.557231426239014,22.0,True
VLP17_0001.dm4,16.496598639455783,1778.0462585034013,15.296545485099614,21.631355313298616,27.578728437423706,39.0,True
VLP17_0001.dm4,0.875,1828.5,1.1284431603484772,1.5957691216057308,82.02903842926025,116.0,True
VLP17_0001.dm4,16.801875,2784.468125,15.958596217319737,22.56758334191025,16.264378309249878,23.0,True
VLP17_0001.dm4,0.875,4039.5,1.1284431603484772,1.5957691216057308,4.95002818107605,7.0,True
VLP17_0001.dm4,3.4166666666666665,2972.0,1.3820549732937142,1.9544100476116797,14.85008454322815,21.0,True
VLP17_0001.dm4,5.0,4022.285714285714,1.055561921618103,1.4927053303604616,16.264378309249878,23.0,True
VLP17_0001.dm4,6.0,2976.0,0.8921126491849486,1.2615662610100802,10.607203245162964,15.0,True
VLP17_0001.dm4,11.058823529411764,3386.0588235294117,1.6449744460147933,2.326213245840639,4.95002818107605,7.0,True
VLP17_0001.dm4,13.909090909090908,1837.3636363636363,1.3232168958408639,1.8712051592547776,79.2004508972168,112.0,True
VLP17_0001.dm4,14.91304347826087,3330.5652173913045,1.9133684701710278,2.7057581899030048,3.5357344150543213,5.0,True
VLP17_0001.dm4,18.166666666666668,1885.8333333333333,0.9772604435885781,1.381976597885342,82.73618531227112,117.0,True
VLP17_0001.dm4,42.66150670794634,3045.8983488132094,17.563520882691805,24.837160856752256,18.38581895828247,26.0,True
VLP17_0001.dm4,18.11111111111111,4093.3333333333335,1.1968947162989805,1.692568750643269,22.628700256347656,32.0,True
VLP17_0001.dm4,19.1,4023.0,1.2616378076419452,1.7841241161527712,14.142937660217285,20.0,True
VLP17_0001.dm4,26.875,4027.125,1.1284431603484772,1.5957691216057308,12.021497011184692,17.0,True
VLP17_0001.dm4,56.172650475184795,2933.4208025343187,17.362996687870332,24.553592902711806,17.678672075271606,25.0,True
VLP17_0001.dm4,35.54545454545455,1801.6363636363637,1.3232168958408639,1.8712051592547776,63.64321947097778,90.0,True
VLP17_0001.dm4,56.41372141372141,117.47297297297297,12.374345313106687,17.498974555922032,14.85008454322815,21.0,True
VLP17_0001.dm4,36.90909090909091,1830.6363636363637,1.3232168958408639,1.8712051592547776,63.64321947097778,90.0,True
VLP17_0001.dm4,37.875,3097.125,1.1284431603484772,1.5957691216057308,12.728643894195557,18.0,True
VLP17_0001.dm4,44.285714285714285,2581.8571428571427,1.055561921618103,1.4927053303604616,25.457287788391113,36.0,True
VLP17_0001.dm4,45.42857142857143,1887.857142857143,1.055561921618103,1.4927053303604616,61.52177882194519,87.0,True
VLP17_0001.dm4,45.166666666666664,2631.1666666666665,0.9772604435885781,1.381976597885342,11.314350128173828,16.0,True
VLP17_0001.dm4,70.24777711914642,2601.605809128631,16.38672767391936,23.173018318554337,17.678672075271606,25.0,True
VLP17_0001.dm4,51.875,3102.125,1.1284431603484772,1.5957691216057308,10.607203245162964,15.0,True
VLP17_0001.dm4,52.857142857142854,3328.285714285714,1.055561921618103,1.4927053303604616,15.557231426239014,22.0,True
VLP17_0001.dm4,53.888888888888886,1810.6666666666667,1.1968947162989805,1.692568750643269,60.10748505592346,85.0,True
VLP17_0001.dm4,57.5,1877.5,1.4927899854769269,2.111004122822376,66.47180700302124,94.0,True
VLP17_0001.dm4,80.77580372250424,199.79610829103214,13.71650396408575,19.39696588307668,16.971525192260742,24.0,True
VLP17_0001.dm4,62.904761904761905,4044.214285714286,2.585588099876044,3.656366395715726,16.264378309249878,23.0,True
VLP17_0001.dm4,64.0,1922.25,1.5958596217319738,2.256758334191025,33.23590350151062,47.0,True
VLP17_0001.dm4,89.71555118110236,1878.029035433071,17.98442457791919,25.43237481489809,53.743163108825684,76.0,True
VLP17_0001.dm4,64.73333333333333,4033.9333333333334,1.5451844344632006,2.1850968611841584,15.557231426239014,22.0,True
VLP17_0001.dm4,66.5,3005.125,1.1284431603484772,1.5957691216057308,3.5357344150543213,5.0,True
VLP17_0001.dm4,67.71428571428571,1830.0,1.055561921618103,1.4927053303604616,60.10748505592346,85.0,True
VLP17_0001.dm4,86.72110792741165,460.0324737344795,12.909458802297399,18.255696394123913,15.557231426239014,22.0,True
VLP17_0001.dm4,74.25925925925925,1810.3333333333333,2.073082459940571,2.9316150714175193,60.814631938934326,86.0,True
VLP17_0001.dm4,74.125,1819.125,1.1284431603484772,1.5957691216057308,59.4003381729126,84.0,True
VLP17_0001.dm4,76.83333333333333,2179.8333333333335,0.9772604435885781,1.381976597885342,6.364321947097778,9.0,True
VLP17_0001.dm4,79.0,1246.5,1.1284431603484772,1.5957691216057308,35.35734415054321,50.0,True
VLP17_0001.dm4,89.0,1849.0,1.1968947162989805,1.692568750643269,62.228925704956055,88.0,True
VLP17_0001.dm4,96.0909090909091,2261.6363636363635,1.3232168958408639,1.8712051592547776,7.071468830108643,10.0,True
VLP17_0001.dm4,98.28571428571429,2250.0,1.055561921618103,1.4927053303604616,9.9000563621521,14.0,True
VLP17_0001.dm4,101.0,2596.5,1.1284431603484772,1.5957691216057308,5.657175064086914,8.0,True
VLP17_0001.dm4,124.31670822942644,363.07730673316706,15.978532010498352,22.595775212167435,17.678672075271606,25.0,True
VLP17_0001.dm4,103.33333333333333,1851.2222222222222,1.1968947162989805,1.692568750643269,48.08598804473877,68.0,True
VLP17_0001.dm4,105.16666666666667,2610.6666666666665,0.9772604435885781,1.381976597885342,4.95002818107605,7.0,True
VLP17_0001.dm4,106.125,2240.125,1.1284431603484772,1.5957691216057308,10.607203245162964,15.0,True
VLP17_0001.dm4,130.89460317460316,3670.433015873016,15.833428824271543,22.390579955406924,15.557231426239014,22.0,True
