file,centroid_y,centroid_x,blob_radius_px,hough_score,capsid_diameter_nm,contrast,interior_uniformity,wall_radius_cv,exterior_mean,is_reliable,overlapping
BMV_e.dm3,425.0,1092.0,56.0,1.0000000000000058,31.485768095402985,0.4668682674273327,0.8462590877936017,0.04101940017154404,0.3762054549738101,False,False
BMV_e.dm3,2312.0,2472.0,56.0,1.0000000000000058,28.932622910802813,0.52783225642828,0.7181897769610447,0.03570949595044323,0.2439879866684685,True,False
BMV_e.dm3,2180.0,1582.0,56.0,1.0000000000000058,28.550007491002294,0.5235633883289413,0.651917609110628,0.0626441090223057,0.16817719144078017,True,False
BMV_e.dm3,2223.0,882.0,56.0,1.0000000000000058,29.884417346370647,0.4278113229448322,0.7317013556953482,0.09229490325928315,0.3352224524325366,False,False
BMV_e.dm3,2247.0,659.0,56.0,1.0000000000000058,30.087714486972416,0.5120061199609958,0.7397778914767127,0.15516075092296325,0.2696432323369886,True,False
BMV_e.dm3,2262.0,1029.0,56.0,1.0000000000000058,29.620758095594386,0.5948283606400543,0.7627777195002615,0.04511961416675823,0.22979570450219763,True,False
BMV_e.dm3,2263.0,2204.0,56.0,1.0000000000000058,28.939628281102245,0.5173408060202063,0.6980658078932497,0.022679235165562816,0.22293841509285423,True,False
BMV_e.dm3,2311.0,3157.0,56.0,1.0000000000000058,29.01378792003091,0.5165561149957565,0.6623706005709442,0.04408223327553447,0.18725794657727585,True,False
BMV_e.dm3,2374.0,1731.0,56.0,1.0000000000000058,29.66213111115459,0.5092478183136546,0.7069483846193049,0.04205923067730702,0.2573483560571294,True,False
BMV_e.dm3,2535.0,552.0,56.0,1.0000000000000058,30.70522146007214,0.5106576950813457,0.7687937298014152,0.07490804086882273,0.3057345202975534,True,False
BMV_e.dm3,2378.0,787.0,56.0,1.0000000000000058,30.612751666766027,0.5127999086030309,0.7648087890081752,0.03063593303216708,0.28539227989196236,True,False
BMV_e.dm3,2391.0,2199.0,56.0,1.0000000000000058,28.0981275531015,0.5137085307090505,0.6954162448186956,0.08793802682583356,0.20871634180456303,True,False
BMV_e.dm3,2395.0,2573.0,56.0,1.0000000000000058,27.959044971384202,0.5317471311559424,0.6665219800423994,0.13997084244475305,0.20836199638214944,True,False
BMV_e.dm3,2416.0,3781.0,56.0,1.0000000000000058,28.57789397083611,0.5143406365198618,0.6879728570680135,0.14910664522465772,0.21980167230313086,True,False
BMV_e.dm3,2468.0,1194.0,56.0,1.0000000000000058,29.31556246561742,0.3492218964023303,0.6592279707985171,0.13803919883815255,0.37610111909579086,False,False
BMV_e.dm3,2488.0,2109.0,56.0,1.0000000000000058,28.530855828491028,0.5368475156290744,0.7121358401777229,0.03974316773631895,0.21639133819947343,True,False
BMV_e.dm3,2156.0,2302.0,56.0,1.0000000000000058,26.34734565702128,0.4727461858699746,0.7004498101526122,0.07899016626632716,0.27945907007423415,True,False
BMV_e.dm3,2160.0,2790.0,56.0,1.0000000000000058,29.29778100651905,0.5111979766232898,0.7018333740289975,0.057267344395337455,0.24247579517676568,True,False
BMV_e.dm3,2122.0,1094.0,56.0,1.0000000000000058,30.02958930972772,0.5056389841563123,0.7285012410494339,0.05558697608943092,0.26533578876665964,True,False
BMV_e.dm3,2086.0,3049.0,56.0,1.0000000000000058,29.4957607879031,0.5677009740176866,0.6998919470571914,0.07986515020723578,0.20470694696538433,True,False
BMV_e.dm3,2050.0,530.0,56.0,1.0000000000000058,30.7599743396539,0.33376863449865285,0.5921046764968974,0.1412617803365079,0.3499718230214856,False,False
BMV_e.dm3,2036.0,1578.0,56.0,1.0000000000000058,29.64668319723531,0.49351830312860745,0.6862748949083413,0.11761675302918498,0.20770177678750726,True,False
BMV_e.dm3,2035.0,3937.0,56.0,1.0000000000000058,29.67671406563393,0.5314137034398064,0.7110503755218849,0.16470010214510905,0.2189630028864469,True,False
BMV_e.dm3,2030.0,1995.0,56.0,1.0000000000000058,29.835036965409575,0.558410712242038,0.7453221040448117,0.057004096248256926,0.23755697092456288,True,False
BMV_e.dm3,1969.0,2253.0,56.0,1.0000000000000058,29.241332254666542,0.5108714097494739,0.6855957257198845,0.12119830040788848,0.23732498399352728,True,False
BMV_e.dm3,1938.0,3490.0,56.0,1.0000000000000058,28.902475504549663,0.4924863294116423,0.6693927532017949,0.11146180689629097,0.23063524725403764,True,False
BMV_e.dm3,1927.0,1191.0,56.0,1.0000000000000058,30.66695424997495,0.5080276293652104,0.7867549280069337,0.06432878603325423,0.31702637541991086,True,False
BMV_e.dm3,1895.0,149.0,56.0,1.0000000000000058,30.264953342405416,0.5421488726099242,0.7287009295838982,0.047895257340588714,0.24401457584202527,True,False
BMV_e.dm3,1888.0,1457.0,56.0,1.0000000000000058,29.762537461016088,0.5074147328076676,0.7246814982341927,0.03593466405744559,0.2374722718948102,True,False
BMV_e.dm3,1869.0,776.0,56.0,1.0000000000000058,29.71441991823442,0.5030383768401734,0.69840613257063,0.08733437663130743,0.2583706546121855,True,False
BMV_e.dm3,1829.0,3148.0,56.0,1.0000000000000058,29.674329127999687,0.5575060455525739,0.7234556783713455,0.0813446987344854,0.22345655006981716,True,False
BMV_e.dm3,1794.0,2958.0,56.0,1.0000000000000058,28.100043085024907,0.4753533278230688,0.6497192251474955,0.11997599761485842,0.21265175537942813,True,False
BMV_e.dm3,1770.0,3872.0,56.0,1.0000000000000058,29.35371285761375,0.5014133697591909,0.7273308669516092,0.18313942002117217,0.2553811146735465,False,False
BMV_e.dm3,2491.0,3398.0,56.0,1.0000000000000058,29.155560455438955,0.4840518742434061,0.6772757136973417,0.04983719568243847,0.24665994717267378,True,False
BMV_e.dm3,2598.0,890.0,56.0,1.0000000000000058,30.58304599878216,0.4711977368008237,0.7044788748333073,0.16099612146719597,0.29064720452609244,True,False
BMV_e.dm3,3285.0,2936.0,56.0,1.0000000000000058,29.539627097552096,0.5417706889336407,0.7463964712978397,0.04892044034253774,0.2474988016492919,True,False
BMV_e.dm3,3016.0,656.0,56.0,1.0000000000000058,28.772230731507523,0.5076702640843519,0.7131843609761132,0.049980450402880336,0.25259252050943437,True,False
BMV_e.dm3,2947.0,1490.0,56.0,1.0000000000000058,29.037924284115835,0.6006372991091911,0.7719400625544682,0.05532405189297402,0.21394613223618075,True,False
BMV_e.dm3,2971.0,3680.0,56.0,1.0000000000000058,29.151482796540343,0.4671890657457079,0.6277074906340354,0.06464644757471737,0.1966345145011879,True,False
BMV_e.dm3,2978.0,2155.0,56.0,1.0000000000000058,29.57747767088931,0.5473224080420068,0.7446451728149279,0.04640391843685949,0.24303115385631172,True,False
BMV_e.dm3,2985.0,2657.0,56.0,1.0000000000000058,29.947629325531164,0.5042577193811668,0.7425031647489162,0.047100918280903695,0.2778581578832818,True,False
BMV_e.dm3,3009.0,1242.0,56.0,1.0000000000000058,30.05638891239327,0.4797473588466283,0.7200981162969319,0.041239304942116126,0.28504050225154715,True,False
BMV_e.dm3,3014.0,3174.0,56.0,1.0000000000000058,29.29879962746217,0.5043379973577012,0.6768124219193061,0.1747470984468815,0.23030720966080787,True,False
BMV_e.dm3,3067.0,3349.0,56.0,1.0000000000000058,29.619119384794413,0.5199172567217124,0.7047656393757438,0.13966974315912206,0.23692656555903793,True,False
BMV_e.dm3,2641.0,2952.0,56.0,1.0000000000000058,28.84660234220521,0.5061861041478878,0.6940067828610088,0.04362216014446116,0.24730615179404722,True,False
BMV_e.dm3,3110.0,1867.0,56.0,1.0000000000000058,29.244710346014717,0.4876914510378876,0.6853193042801842,0.15588910440707984,0.23493228960733337,True,False
BMV_e.dm3,3158.0,3690.0,56.0,1.0000000000000058,28.365604237360067,0.46995804079108044,0.6016847662696588,0.15684387141358122,0.1923853127965241,True,False
BMV_e.dm3,3179.0,289.0,56.0,1.0000000000000058,29.873634653010466,0.5481029290837551,0.7171605521515056,0.0501983221108093,0.23127303415053738,True,False
BMV_e.dm3,3190.0,911.0,56.0,1.0000000000000058,29.245183735568187,0.5340958042183699,0.71087343180817,0.03292519468592023,0.22722436506279553,True,False
BMV_e.dm3,3217.0,1240.0,56.0,1.0000000000000058,30.022100053649673,0.5022143221637254,0.7914733341045441,0.03638459018113707,0.33564990934436506,False,False
BMV_e.dm3,3254.0,3211.0,56.0,1.0000000000000058,29.822625291866505,0.4830218550912546,0.6622448122817297,0.11785006318405301,0.23849508228399574,True,False
BMV_e.dm3,2937.0,2483.0,56.0,1.0000000000000058,30.293698266032408,0.5325704287980273,0.7431014328212022,0.046004971075146284,0.2602979018687535,True,False
BMV_e.dm3,2944.0,2866.0,56.0,1.0000000000000058,29.74607558154552,0.5092774364685099,0.7106853175464467,0.062395325911328514,0.2654771319661887,True,False
BMV_e.dm3,2923.0,2325.0,56.0,1.0000000000000058,29.31503818135151,0.4858211283349487,0.702780010634521,0.08571548523967355,0.2423396527023557,True,False
BMV_e.dm3,2924.0,1350.0,56.0,1.0000000000000058,27.8798002356762,0.5381213439503653,0.6827685548304898,0.05751228715536956,0.20318738297923686,True,False
BMV_e.dm3,2902.0,718.0,56.0,1.0000000000000058,28.287094636341514,0.5016622896417873,0.6940524338585438,0.09888576123616032,0.23585264200098646,True,False
BMV_e.dm3,2894.0,459.0,56.0,1.0000000000000058,29.59989470388303,0.48738810727010995,0.7097830121840356,0.14586499149789456,0.25513008203751564,True,False
BMV_e.dm3,2836.0,3382.0,56.0,1.0000000000000058,29.875672518887278,0.5265605231823574,0.7386808049625018,0.03174996696060952,0.2626076620817675,True,False
BMV_e.dm3,2840.0,1737.0,56.0,1.0000000000000058,29.217081230052294,0.5727110392844548,0.7170170677546521,0.03135161529742289,0.21251237732880288,True,False
BMV_e.dm3,2816.0,1109.0,56.0,1.0000000000000058,29.77360924507913,0.5615748874407671,0.7755485481800853,0.04599766395748834,0.25162713427714234,True,False
BMV_e.dm3,2811.0,1429.0,56.0,1.0000000000000058,28.4220155328109,0.5613363194453288,0.7163066267204776,0.15930231976004863,0.19625261297051602,True,False
BMV_e.dm3,2783.0,128.0,56.0,1.0000000000000058,30.34560409139707,0.5708920268052735,0.7690122031296978,0.04002268916986908,0.2455443871440689,True,False
BMV_e.dm3,2783.0,604.0,56.0,1.0000000000000058,30.29711692711011,0.5775605646202439,0.7825472791490846,0.046698117024974124,0.24981938370610998,True,False
BMV_e.dm3,2733.0,3080.0,56.0,1.0000000000000058,29.52819475571795,0.5155976706856686,0.6760420659911973,0.04176498586457703,0.22826312245635672,True,False
BMV_e.dm3,2710.0,2680.0,56.0,1.0000000000000058,29.341694911720055,0.34952999047132915,0.5991851898900046,0.1411755097705909,0.35445653272669075,False,False
BMV_e.dm3,2709.0,3652.0,56.0,1.0000000000000058,28.656581441545242,0.4709301359666751,0.6207654787039469,0.10220066022819167,0.19788214175854826,True,False
BMV_e.dm3,2691.0,2007.0,56.0,1.0000000000000058,29.99661774508691,0.49454146424790923,0.719723985634743,0.07619458229167675,0.2725520166867337,True,False
BMV_e.dm3,2675.0,318.0,56.0,1.0000000000000058,30.442517973632942,0.5120665611506097,0.7079597901326078,0.17469726717992506,0.26017469938949733,True,False
BMV_e.dm3,1740.0,2718.0,56.0,1.0000000000000058,28.602964309134748,0.5073046684828616,0.6956161409388681,0.04277298577181623,0.2333403903203284,True,False
BMV_e.dm3,1729.0,1610.0,56.0,1.0000000000000058,29.76387450526059,0.5021304878101593,0.6857922792719098,0.14507527417790514,0.22472947906705462,True,False
BMV_e.dm3,1691.0,784.0,56.0,1.0000000000000058,29.337766884587737,0.5319413808636695,0.7722349613342163,0.0460758774975375,0.2862325994780368,True,False
BMV_e.dm3,754.0,1418.0,56.0,1.0000000000000058,30.401829933952865,0.5515029813834806,0.8328610707677582,0.0565685424949238,0.30462558287780744,True,False
BMV_e.dm3,552.0,1669.0,56.0,1.0000000000000058,31.245889286214624,0.4563593528815997,0.8035105295155794,0.041642900208904106,0.37059249832713004,False,False
BMV_e.dm3,561.0,1200.0,56.0,1.0000000000000058,31.2072448559392,0.4693867101949754,0.8597440764241537,0.04216934032855292,0.3944891873290108,False,False
BMV_e.dm3,661.0,3296.0,56.0,1.0000000000000058,29.90851845126081,0.5193775793949664,0.7161197233397945,0.06454751798269961,0.24132524237959802,True,False
BMV_e.dm3,696.0,2724.0,56.0,1.0000000000000058,29.882651596277174,0.49933889069485804,0.7171106635477948,0.05984848285149053,0.2610238776748388,True,False
BMV_e.dm3,690.0,3114.0,56.0,1.0000000000000058,30.55905132911686,0.32397095444732193,0.5736078444341474,0.16012185565304488,0.3167082889206039,True,False
BMV_e.dm3,729.0,1967.0,56.0,1.0000000000000058,30.02180794169294,0.5566929521095698,0.7847066880319042,0.06246747332592608,0.25447120576896193,True,False
BMV_e.dm3,754.0,111.0,56.0,1.0000000000000058,30.65619811303613,0.4391777829301948,0.8249683263675225,0.045266376933577414,0.3834836326732347,False,False
BMV_e.dm3,1667.0,2940.0,56.0,1.0000000000000058,28.217887110010775,0.5684257308261237,0.7176624601941575,0.04206869757291859,0.19412188293795588,True,False
BMV_e.dm3,751.0,1195.0,56.0,1.0000000000000058,31.39200618220396,0.49310396862705275,0.8590484095680258,0.032141217326661246,0.37679701946970623,False,False
BMV_e.dm3,758.0,1722.0,56.0,1.0000000000000058,30.754828073310538,0.5352706685230038,0.7884050225820755,0.04578066875336363,0.28095906685860333,True,False
BMV_e.dm3,767.0,2139.0,56.0,1.0000000000000058,30.01345892974425,0.546140821256965,0.7158375937409553,0.024256106983978495,0.22873403214273197,True,False
BMV_e.dm3,790.0,2537.0,56.0,1.0000000000000058,29.626270291025143,0.4909164368905566,0.7294121760096608,0.17234101760955262,0.29565502997666243,True,False
BMV_e.dm3,865.0,2860.0,56.0,1.0000000000000058,28.964927140213618,0.5077269811642073,0.7056505295855859,0.10947481620436753,0.24882686972576615,True,False
BMV_e.dm3,892.0,1443.0,56.0,1.0000000000000058,29.78479161322003,0.5022780691960448,0.7461403687961179,0.04205923067730702,0.2841018478770977,True,False
BMV_e.dm3,552.0,3018.0,56.0,1.0000000000000058,30.02263683562373,0.4977020679781624,0.7194969081206897,0.08017428215347244,0.25989027923261965,True,False
BMV_e.dm3,520.0,2502.0,56.0,1.0000000000000058,29.959557264390448,0.5396506759048928,0.7215787958317578,0.08748882002181115,0.23163498012555606,True,False
BMV_e.dm3,513.0,2272.0,56.0,1.0000000000000058,29.945287308452144,0.3632234187674869,0.6433837785592966,0.09880399086963201,0.34103500760475897,False,False
BMV_e.dm3,500.0,3837.0,56.0,1.0000000000000058,29.305104958183897,0.5261030168415971,0.6875010865622484,0.07081331302949088,0.21418697342232454,True,False
BMV_e.dm3,417.0,2015.0,56.0,1.0000000000000058,29.79430440688251,0.514558017879821,0.7544605208298093,0.16489169304694687,0.27432298338845157,True,False
