file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,ring_contrast,peak_prominence,wall_radius_cv,is_reliable,overlapping
VLP_100_06_14_0004.dm3,11.176755447941888,51.813559322033896,13.450117397032182,11.465687201119065,,,,,False,False
VLP_100_06_14_0004.dm3,16.16549295774648,700.3380281690141,15.773396377132183,13.446189622059965,,,,,False,False
VLP_100_06_14_0004.dm3,96.91287878787878,416.57575757575756,15.207856659194176,12.964089628857149,,0.036813236534054106,0.036813236534054106,,False,False
VLP_100_06_14_0004.dm3,142.95833333333334,32.473214285714285,12.131672781181184,10.341765891652821,27.660288828466722,0.15966856911834704,0.15966856911834704,0.14255301139786958,True,False
VLP_100_06_14_0004.dm3,184.2883435582822,78.04907975460122,11.949778332411439,10.186708148166206,26.862345689718122,0.28028539670572183,0.28028539670572183,0.07714633558002354,True,False
VLP_100_06_14_0004.dm3,210.390243902439,163.58841463414635,11.986378045470884,10.217907939900583,27.50401770516724,0.24893084824930867,0.24893084824930867,0.4027664608134244,False,False
VLP_100_06_14_0004.dm3,263.7412398921833,249.26954177897574,12.747881095901436,10.86705883733894,,0.02520355948232711,0.02520355948232711,,False,False
VLP_100_06_14_0004.dm3,269.31072210065645,559.1422319474835,14.148459280353842,12.060995729457511,,0.07524852240262175,0.07524852240262175,,False,False
VLP_100_06_14_0004.dm3,285.80409356725147,970.9619883040936,12.239511993342786,10.433694507453072,25.732776673115847,0.2268006375585077,0.2268006375585077,0.38125595290345726,False,False
VLP_100_06_14_0004.dm3,306.2040072859745,630.1347905282331,15.507336874716751,13.219384536161321,,,,,False,False
VLP_100_06_14_0004.dm3,306.7451612903226,930.9387096774194,11.652843024445058,9.933582672781009,25.577319154981215,0.19065468437114474,0.19065468437114474,0.09337945803757379,True,False
VLP_100_06_14_0004.dm3,319.5820895522388,534.5597014925373,10.834738805972727,9.23618154310838,26.17372738298381,0.2009517147073806,0.2009517147073806,0.08401680504168059,True,False
VLP_100_06_14_0004.dm3,340.0921658986175,450.90552995391704,13.78782980651056,11.753573524837677,,0.07147475235870848,0.07147475235870848,,False,False
VLP_100_06_14_0004.dm3,340.4328767123288,908.1506849315068,12.644378318830535,10.778826859036359,,0.05194967081677415,0.05194967081677415,,False,False
