 ,Area,Mean,Min,Max,Angle,Length
1,1.075E-5,34744.509,16039.027,50115.180,-28.072,0.030
2,1.138E-5,38614.752,26953.875,49968.293,-33.690,0.032
3,1.225E-5,37324.117,23047.820,48831.512,-1.771,0.034
4,1.238E-5,36152.324,19637.492,51359.105,0.000,0.035
5,1.213E-5,37748.699,23011.094,50311.883,-0.597,0.034
6,1.263E-5,39129.184,25055.621,48593.711,-1.146,0.035
7,1.213E-5,40106.304,28144.252,50529.102,-0.597,0.034
8,1.200E-5,36971.721,21020.096,47883.188,9.660,0.034
9,1.238E-5,35593.763,18841.311,47871.875,1.169,0.035
10,1.238E-5,37136.708,22688.842,48618.707,2.921,0.035
11,1.138E-5,37636.941,20052.840,51332.367,1.909,0.032
12,1.263E-5,37442.960,26008.973,47595.383,0.573,0.035
13,1.150E-5,37390.711,23617.230,49526.836,0.000,0.032
14,1.200E-5,36462.403,19450.936,48196.523,-36.027,0.034
15,1.363E-5,36880.366,20122.617,49211.633,-21.801,0.038
16,1.288E-5,37728.022,24688.334,47570.605,-26.313,0.036
17,1.300E-5,37574.706,22246.035,49010.934,-27.061,0.037
18,1.238E-5,35566.435,19654.486,48931.422,-20.283,0.035
19,1.300E-5,36854.199,20384.127,48902.324,-12.953,0.036
20,1.175E-5,39220.556,22528.695,50815.742,-9.260,0.033
21,1.275E-5,37705.722,21800.760,50339.402,-7.407,0.036
22,1.275E-5,33990.108,13359.059,49300.820,-15.555,0.036
23,1.263E-5,38967.774,20265.596,49778.637,-5.768,0.035
24,1.238E-5,37896.205,24370.070,49541.852,-4.667,0.035
25,1.200E-5,38948.949,24639.225,52328.926,-4.214,0.034
26,1.263E-5,37158.352,19739.648,56567.844,-12.095,0.035
27,1.225E-5,38602.115,17227.291,54945.176,-3.540,0.034
28,1.288E-5,37880.284,23498.301,50656.297,1.123,0.036
29,1.150E-5,38737.358,23898.768,50324.016,-19.231,0.032
30,1.288E-5,38368.698,22948.088,50958.840,1.685,0.036
31,1.150E-5,42059.732,27819.287,50983.133,11.434,0.032
32,1.300E-5,39251.880,28285.939,50668.711,-23.344,0.037
33,1.163E-5,39279.127,28355.115,52649.445,13.885,0.032
34,1.238E-5,39660.076,25848.863,52331.867,16.026,0.035
35,1.250E-5,35200.467,20448.766,49434.086,27.084,0.035
36,1.188E-5,40383.738,27552.186,51199.770,18.628,0.033
37,1.238E-5,37356.052,22076.260,48996.406,15.306,0.035
38,1.200E-5,37451.059,23253.584,48553.680,-35.189,0.034
39,1.238E-5,36999.170,18758.689,52074.883,12.339,0.035
40,1.350E-5,37609.519,20018.854,49468.258,19.113,0.038
41,1.275E-5,37233.572,23850.188,48926.973,-2.268,0.036
42,1.188E-5,38189.026,23668.697,48641.594,38.946,0.033
43,1.263E-5,36683.376,22392.115,47297.465,-31.159,0.036
44,1.100E-5,36797.166,23843.238,48543.414,5.254,0.031
45,1.163E-5,35837.890,21195.898,47952.566,42.357,0.033
46,1.088E-5,34676.898,20458.273,47815.730,2.663,0.030
47,1.125E-5,37330.883,24208.324,49012.285,10.305,0.032
48,1.050E-5,38161.582,25252.139,48592.066,19.747,0.029
49,1.163E-5,36905.475,25032.158,46658.523,25.168,0.032
50,1.200E-5,31302.212,12955.446,47856.121,45.855,0.034
51,9.876E-6,29664.895,14717.803,47362.973,-35.112,0.028
52,1.150E-5,36107.899,22645.072,46284.305,37.376,0.032
53,1.088E-5,35230.104,20890.117,47242.930,26.862,0.031
54,1.113E-5,37169.009,25832.213,45914.625,33.871,0.031
55,1.175E-5,34368.910,18151.645,46395.766,-24.905,0.033
56,1.225E-5,36875.984,19473.338,46759.910,-15.619,0.034
57,1.288E-5,36135.990,22446.873,46316.824,-19.502,0.036
58,1.175E-5,35786.097,23147.602,46050.156,41.941,0.033
59,1.100E-5,34503.935,20151.328,50320.473,25.096,0.031
60,1.263E-5,33454.876,18560.289,45390.695,-53.130,0.035
61,1.238E-5,37511.256,26049.967,46046.258,-134.170,0.035
