file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,capsid_radius_px,is_reliable
VLP20_0001.dm4,107.97392397109645,1808.411875589067,22.508834832724283,31.830494305351365,36.71046358395854,51.91349133528534,True
VLP20_0001.dm4,106.25461936437546,374.8385070214338,20.753846066354253,29.34870613865861,36.15877228978854,51.133326269972414,True
VLP20_0001.dm4,139.13340087808172,3300.1965552178317,21.70970383184794,30.700416495386577,38.94706825202534,55.07634861685019,True
VLP20_0001.dm4,138.41725490196077,3162.119607843137,20.146740163268383,28.490177426065046,34.97759653538032,49.46298622777489,True
VLP20_0001.dm4,238.12771345875544,761.1392908827786,20.975084273976663,29.661566469288122,30.835487511855195,43.60549166329487,False
VLP20_0001.dm4,243.67288832647895,341.5121796899715,22.43091258999474,31.720301862166483,36.365511386057975,51.42568292349989,True
VLP20_0001.dm4,235.18549019607843,45.49176470588235,20.146740163268383,28.490177426065046,35.07522113717285,49.60104043424593,True
VLP20_0001.dm4,301.1061631635198,1922.0032062700393,21.13761100783177,29.891400946056383,41.55230946398905,58.76050713406122,False
VLP20_0001.dm4,329.53657718120803,3276.639932885906,21.77924533555121,30.798757455905527,37.73156391577445,53.35746338175511,True
VLP20_0001.dm4,355.08505338078294,3463.8975088967973,21.148903472892215,29.907369997651948,36.261048740298705,51.27795881091596,True
VLP20_0001.dm4,504.1701155603332,3334.2719699005643,24.3368592314126,34.415564596413134,38.53078337579073,54.48766628474097,True
VLP20_0001.dm4,500.5181616011861,58.36693847294292,20.723145093826627,29.305290869122373,35.835673815381206,50.67642193769048,True
VLP20_0001.dm4,589.2851159793814,1774.337306701031,22.227752447363105,31.433006326383836,38.728343212352904,54.767042240866246,True
VLP20_0001.dm4,665.8045827929096,165.25378296584523,19.187681965506805,27.133941231290155,38.364950866470075,54.25315700059539,True
VLP20_0001.dm4,724.5708516886931,461.77129221732747,20.822757753711123,29.44615645486938,35.765905528574066,50.57776027561812,True
VLP20_0001.dm4,795.0695476029709,3838.314652261985,21.71336946358902,30.705600187529114,36.004847788012306,50.91565649658551,True
VLP20_0001.dm4,917.4815238095238,1709.152380952381,20.440868716588053,28.90611442640554,37.78097870993818,53.42734249082129,True
