file,centroid_y,centroid_x,gold_diameter_nm,gold_radius_px,capsid_diameter_nm,ring_contrast,peak_prominence,wall_radius_cv,is_reliable,overlapping
VLP20_0003.dm4,16.40986301369863,3628.397808219178,17.043788231348753,24.10218957450584,,,,,False,False
VLP20_0003.dm4,30.215841584158415,3781.778217821782,20.04773838396921,28.350175706934717,,,,,False,False
VLP20_0003.dm4,59.38224799286351,715.1538804638716,18.8908934809862,26.714242733494405,37.1126068445033,0.38794059518063945,0.38794059518063945,0.03176201564966875,True,False
VLP20_0003.dm4,60.62207670720299,3491.659962581852,18.447543602067526,26.087286878112575,37.44408481060469,0.41449239255874476,0.41449239255874476,0.04537203658372119,True,False
VLP20_0003.dm4,65.08955823293172,1280.4975903614459,19.908308804622806,28.15300368695388,,0.0970239654448033,0.0970239654448033,,False,False
VLP20_0003.dm4,86.07066222715501,1507.2475027746948,20.742338526757933,29.332432942986273,39.357159777469775,0.3868601921324497,0.3868601921324497,0.09545620568840912,True,False
VLP20_0003.dm4,98.73285811269518,3098.9131025118804,21.654644895034544,30.62255581589243,40.20336643016027,0.19909964124250845,0.19909964124250845,0.19954679298201455,True,False
VLP20_0003.dm4,100.38235294117646,2427.909530900968,20.677008164398078,29.2400470979385,34.786818230189276,0.20802255851642687,0.20802255851642687,0.27932575565625245,False,False
VLP20_0003.dm4,113.51133241758242,2193.777815934066,21.529323344544817,30.445334430207833,37.927740656538816,0.36369701935114307,0.36369701935114307,0.06289234155075717,True,False
VLP20_0003.dm4,156.8081247733043,3967.3899165759885,20.94850709072255,29.62398278774667,38.117259139845345,0.27798871536346303,0.27798871536346303,0.3177504638390089,False,False
VLP20_0003.dm4,172.864768683274,2817.40640569395,21.148903472892215,29.907369997651948,39.899170304633095,0.34164078371912554,0.34164078371912554,0.11937174052524073,True,False
VLP20_0003.dm4,171.61348490787927,3727.891415131321,20.150690117264435,28.495763187794253,38.9261091438331,0.3886267267597835,0.3886267267597835,0.05947617141331808,True,False
VLP20_0003.dm4,183.1518646674356,1241.9050365244136,20.347210177082665,28.77366876093557,38.28121159237148,0.31855019778947646,0.31855019778947646,0.2235977233511866,False,False
VLP20_0003.dm4,186.53061224489795,377.21384205856253,18.941381482330502,26.785639500640343,37.06191722166055,0.3787359879592991,0.3787359879592991,0.28597263559956976,False,False
VLP20_0003.dm4,198.2276768457673,447.24391186702746,20.29237640222643,28.696126490477184,40.73209754444524,0.2948202129884451,0.2948202129884451,0.13197334330725988,True,False
VLP20_0003.dm4,229.75103543488265,162.53750575241602,18.59792783624114,26.299950240967704,37.21375167592585,0.4390061854133277,0.4390061854133277,0.20816204677435182,False,False
VLP20_0003.dm4,246.19396872673119,3247.269173492182,20.677008164398078,29.2400470979385,41.732834001165095,0.1540103972470297,0.1540103972470297,0.22938899543994992,False,False
