 ,Area,Mean,Min,Max,Angle,Length
102,6.584E-6,1930.674,1717.000,2230.071,13.570,0.028
103,6.914E-6,1959.905,1689.516,2211.886,26.565,0.029
104,6.749E-6,1931.505,1701.832,2165.333,-23.199,0.029
105,6.475E-6,1879.130,1631.000,2171.245,7.853,0.027
106,6.639,1894.972,1613.080,2172.869,21.448,28.187
107,6.694,1881.993,1504.000,2247.955,-7.595,28.358
108,6.310,2001.542,1648.269,2560.399,-18.435,26.667
109,7.133,1945.237,1649.000,2225.785,21.801,30.275
110,7.462,1908.351,1592.924,2207.547,-11.976,31.608
111,7.188,1989.113,1529.013,2528.157,8.881,30.347
112,7.078,1898.115,1517.297,2233.652,32.196,29.895
113,6.639,1941.328,1696.467,2283.400,1.909,28.125
114,6.475,1928.146,1610.302,2439.947,7.853,27.430
115,7.353,1915.442,1285.000,2378.917,-5.194,31.048
116,7.298,1875.536,1399.000,2306.818,-1.736,30.934
117,6.969,1903.270,1427.000,2190.032,-22.479,29.407
118,6.694,1948.156,1680.609,2242.002,34.216,28.327
119,6.365,1903.868,1649.673,2256.367,33.690,27.027
120,7.243,1834.720,1547.434,2205.458,12.339,30.692
121,6.859,1898.387,1662.387,2418.387,-3.691,29.107
122,7.023,1863.767,1522.000,2136.960,-155.854,29.778
123,6.859,1906.856,1602.000,2194.000,0.000,29.046
124,6.859,1852.994,1519.115,2166.170,14.931,29.092
125,6.859,1884.610,1261.000,2258.422,29.055,28.940
126,7.407,1921.019,1524.000,2447.775,-8.616,31.273
127,7.407,1955.143,1639.000,2296.445,30.379,31.497
128,6.639,1906.706,1635.840,2152.420,25.710,28.078
129,7.298,1803.702,1264.000,2100.727,-1.736,30.934
130,6.804,1867.211,1477.211,2165.239,24.905,28.925
131,6.091,1913.803,1642.137,2323.124,33.111,25.728
132,7.023,1937.338,1644.928,2241.218,28.179,29.763
133,7.682,1895.134,1573.058,2246.785,39.174,32.633
134,6.749,1877.612,1404.435,2420.150,-9.462,28.497
135,7.023,1889.255,1470.000,2153.468,-12.724,29.778
136,7.243,1860.707,1556.000,2198.194,27.350,30.592
137,6.694,1864.968,1580.916,2232.024,17.241,28.451
138,6.694,1950.062,1646.149,2446.129,-17.241,28.451
139,6.530,1954.748,1594.248,2306.967,28.301,27.669
140,6.365,1885.494,1322.000,2214.251,12.095,26.831
141,7.133E-6,2026.044,1714.086,2319.772,25.769,0.030
142,7.956E-6,1985.637,1691.500,2256.833,33.690,0.034
143,7.188E-6,2020.897,1731.000,2307.222,-8.881,0.030
144,6.475E-6,2031.029,1732.021,2416.029,5.906,0.027
145,6.694E-6,1974.912,1672.000,2209.753,5.711,0.028
146,7.243E-6,1978.405,1709.327,2330.424,37.569,0.031
147,6.694E-6,2003.663,1660.876,2460.207,-17.241,0.028
148,7.298E-6,1931.885,1642.917,2337.959,28.887,0.031
149,6.639E-6,1912.486,1544.000,2463.000,-3.814,0.028
150,7.517E-6,1963.886,1573.880,2278.183,42.614,0.032
151,6.420E-6,2033.463,1636.000,2434.655,40.815,0.027
152,6.749E-6,2015.841,1628.000,2298.080,11.310,0.029
153,6.200E-6,1990.025,1750.857,2260.143,-4.086,0.026
154,6.200E-6,2008.410,1733.000,2291.000,4.086,0.026
155,6.530E-6,1958.307,1637.074,2231.078,11.689,0.028
156,6.420E-6,2007.674,1715.341,2262.053,-15.945,0.027
157,6.420E-6,2002.188,1756.000,2232.000,0.000,0.027
158,6.859E-6,2021.640,1780.000,2267.000,0.000,0.029
159,7.243E-6,1924.619,1773.557,2183.969,-27.350,0.031
160,6.639E-6,1985.424,1771.467,2195.800,1.909,0.028
161,6.969E-6,1925.460,1640.000,2162.660,22.479,0.029
162,6.914E-6,2021.438,1726.805,2397.435,26.565,0.029
163,6.639E-6,2026.544,1620.147,2254.053,-25.710,0.028
164,7.243E-6,2003.985,1676.164,2343.366,27.350,0.031
165,6.639E-6,1962.349,1738.000,2220.000,3.814,0.028
166,7.078E-6,1897.925,1635.125,2240.750,1.790,0.030
