 ,Area,Mean,Min,Max,Angle,Length
1,8.257,3817.580,3062.397,5412.000,28.811,13.388
2,17.889,4426.518,3197.134,5345.623,30.579,29.977
3,7.913,3774.557,3240.000,5027.000,33.690,12.689
4,16.513,4514.192,3295.853,5860.711,32.005,27.667
5,6.881,3472.704,3094.022,4556.000,47.121,11.206
6,17.201,4397.358,3087.799,5441.286,34.992,28.638
7,8.257,3988.358,3316.112,5592.000,-19.983,13.730
8,16.513,4542.301,3337.383,5575.833,-19.983,27.461
9,7.225,3472.646,3032.900,5080.000,17.526,11.687
10,18.921,4418.509,3008.173,5311.317,20.433,31.922
11,7.569,3507.409,3003.000,5243.000,0.000,12.317
12,17.201,4473.598,3123.000,5780.857,-45.000,29.032
13,7.225,3376.291,462.000,4849.000,17.526,11.687
14,16.857,4421.648,2877.247,5801.792,20.695,28.215
15,7.225,3435.664,2990.800,4569.000,2.862,11.745
16,17.545,4226.444,2972.224,5219.542,9.273,29.121
17,6.881,3546.892,3057.790,5548.000,8.973,11.282
18,17.201,4428.188,3050.530,5731.973,14.036,29.020
19,7.225,3842.712,3459.000,5267.000,-8.531,11.862
20,18.577,4531.970,3472.709,5539.505,-22.203,31.042
21,7.569,3843.232,3347.401,5777.000,25.346,12.331
22,16.857,4560.932,3343.375,5890.076,24.444,28.349
23,6.881,3609.718,2959.158,5395.000,11.889,11.389
24,16.169,4377.281,3132.482,5405.816,21.571,27.121
25,5.160,3507.596,3292.837,4122.000,-39.289,8.336
26,17.889,4537.615,3308.604,5727.654,-37.776,29.683
27,8.601,3878.580,3377.306,5076.000,12.265,13.805
28,17.201,4463.273,3346.586,5547.440,15.461,28.602
29,6.881,3757.628,3313.928,4906.000,-32.005,11.067
30,17.545,4670.174,3329.876,5608.856,-26.053,29.380
31,7.913,3725.668,3126.545,5135.000,-5.194,12.957
32,19.610,4398.400,3114.786,5554.196,-3.066,32.893
33,6.537,3623.342,3293.691,4768.000,-26.565,10.492
34,19.265,4596.945,3287.949,5474.137,-28.443,32.019
35,7.225,3443.775,3026.440,4962.000,36.870,11.731
36,17.201,4298.766,3040.009,5480.282,35.942,28.979
37,7.225,3650.219,3062.090,5097.000,-26.565,11.804
38,19.265,4504.940,3162.198,5392.338,-19.093,32.276
39,7.225,3846.968,3661.120,4585.000,36.870,11.731
40,18.921,4537.063,3504.556,5875.600,36.656,31.439
41,7.569,3563.594,3031.222,5181.000,-19.290,12.429
42,17.889,4460.511,3084.367,5781.550,-20.556,30.068
43,6.537,3526.991,3086.333,4568.000,-29.358,10.767
44,18.921,4512.360,3021.130,5568.591,-35.166,31.570
45,7.569,3086.267,2303.166,5084.000,14.036,12.092
46,17.545,4232.165,2339.558,5353.110,16.260,29.327
47,7.225,3404.473,2998.200,4634.000,-30.466,11.568
48,17.889,4378.861,2991.220,5394.567,-29.055,30.194
49,8.257,3574.167,2659.000,5667.000,0.000,13.490
50,18.233,4272.661,2664.500,5517.000,1.102,30.506
51,7.225,3775.190,3174.000,5188.000,0.000,11.731
52,18.921,4482.389,3216.556,5602.537,-1.061,31.678
53,7.569,3707.377,3029.111,5453.000,-48.814,12.470
54,17.545,4445.323,3178.978,5505.079,-50.631,29.590
55,6.537,3396.463,2687.630,5334.000,26.565,10.492
56,16.857,4261.513,2618.750,5424.000,29.745,28.373
57,7.225,3297.233,2837.000,4856.000,23.962,11.553
58,18.577,4218.534,2836.156,5116.515,23.199,31.269
59,7.225,3452.202,3095.250,4607.000,-40.914,11.642
60,17.889,4320.433,3066.401,5295.875,-45.000,29.862
61,7.225,3382.855,3025.320,4708.000,23.962,11.553
62,18.577,4423.378,3023.728,5765.292,24.624,30.970
63,7.225,3250.145,2428.552,4832.000,32.905,11.876
64,17.889,4192.204,2452.234,5197.000,37.776,29.683
65,7.225,3485.292,3172.938,4520.000,-20.225,11.876
66,17.889,4368.976,3198.508,5408.650,-18.435,29.677
67,7.225,3732.181,3381.800,4546.000,5.711,11.789
68,16.169,4433.093,3309.666,5549.676,11.310,26.917
69,6.192,3370.167,3103.000,4200.000,0.000,9.971
70,17.201,4410.700,3103.000,5762.000,0.000,28.740
71,7.225,3623.102,3214.100,5244.000,-2.862,11.745
72,18.577,4560.392,3204.698,5572.358,1.081,31.092
73,7.569,3836.522,3517.857,4921.000,-2.726,12.331
74,17.545,4591.285,3407.960,5791.000,-15.154,29.168
75,6.881,3687.649,3024.778,5215.000,-32.005,11.067
76,16.513,4479.901,3055.535,5549.132,-46.736,27.386
77,6.881,4003.455,3557.316,5104.000,11.889,11.389
78,16.857,4653.274,3571.523,5459.104,12.011,28.184
79,7.225,3797.010,3317.000,4796.000,11.310,11.963
80,17.201,4462.893,3307.504,5259.449,17.700,28.937
81,6.881,3554.657,3162.590,4811.000,-32.005,11.067
82,15.825,4446.311,3242.496,5507.889,-27.699,26.498
83,7.225,3554.726,3060.000,5221.000,-36.870,11.731
84,17.889,4454.799,2977.114,5303.318,-37.776,29.683
85,5.848,3600.193,3343.625,5196.000,52.431,9.620
86,16.513,4533.662,3256.628,5507.620,50.194,27.486
87,6.192,3390.722,2953.803,4575.000,-45.000,9.954
88,15.825,4409.414,2969.696,5650.037,-41.424,26.595
89,7.569,3630.542,3095.755,5279.000,-16.699,12.247
90,16.857,4406.239,3086.438,5460.000,-29.745,28.373
91,7.913,3631.951,3104.512,5412.000,-33.690,12.689
92,16.857,4351.195,2927.000,5404.188,-45.000,28.203
93,6.881,3502.441,3097.510,4633.000,-18.435,11.129
94,17.889,4441.981,3107.652,5301.046,-23.051,29.959
95,7.225,3269.307,2777.960,5388.000,53.130,11.731
96,15.825,4288.253,2829.778,5582.678,45.000,26.544
97,5.848,3526.421,3038.812,4340.000,-14.931,9.106
98,18.233,4529.852,3051.485,5536.012,-22.620,30.500
99,5.504,3436.443,3055.240,4501.000,-36.870,8.798
100,15.825,4457.567,3027.591,5354.039,-45.000,26.544
101,7.225,3014.564,2510.750,4217.000,14.744,11.524
102,16.857,4119.641,2504.595,5445.239,13.173,28.312
103,6.881,3409.154,2957.834,4415.000,-32.005,11.067
104,17.889,4427.908,2964.792,5450.547,-18.435,29.677
105,7.569,3713.497,3353.265,5329.000,-37.405,12.552
106,17.889,4463.271,3451.478,5329.146,-37.093,30.148
107,8.601,3638.014,3074.066,5479.000,-16.928,14.101
108,20.298,4450.351,3122.351,5613.502,-22.166,34.201
109,5.160,3101.282,2866.633,3594.000,-21.038,8.170
110,17.889,4377.650,2887.868,5664.197,-28.072,29.913
111,6.881,3036.329,2384.474,4423.000,18.435,11.129
112,16.513,4302.652,2447.562,5610.013,25.463,27.285
113,8.601,3415.044,2820.543,5032.000,-12.265,13.805
114,18.233,4220.765,2777.000,5160.154,-22.620,30.500
115,7.225,3583.029,3303.000,4612.000,11.310,11.963
116,17.201,4408.216,3343.362,5414.094,10.620,28.644
117,7.569,3702.922,3153.000,5185.571,8.130,12.442
118,17.545,4445.756,2983.000,5678.037,9.273,29.121
119,8.945,3988.494,3399.771,4901.000,-14.036,14.510
120,19.265,4573.793,3450.248,5443.876,-25.641,32.530
121,6.537,3450.135,2856.444,4868.000,26.565,10.492
122,16.857,4452.665,2927.625,5708.000,29.745,28.373
123,6.537,3583.643,3257.056,4893.000,29.358,10.767
124,16.857,4495.592,3284.742,5511.531,26.030,28.068
125,5.848,3342.158,2831.250,4977.000,29.745,9.458
126,16.169,4345.060,2872.696,5548.001,31.608,26.859
127,6.537,3433.168,2848.864,4786.000,-51.843,10.443
128,16.857,4314.116,2805.833,5321.500,-48.366,28.251
129,6.881,3389.072,2844.529,5381.000,38.660,11.267
130,17.545,4382.183,2847.500,6052.610,34.330,29.121
131,8.601,3788.548,3249.000,5546.000,-12.265,13.805
132,17.545,4448.906,3236.985,5563.966,-12.653,29.456
133,6.881,3778.205,3411.842,4828.000,8.973,11.282
134,17.545,4575.996,3353.080,5705.160,6.843,29.537
135,5.848,3621.026,3169.000,4520.000,-29.745,9.458
136,17.889,4587.601,2999.736,5640.775,-33.071,30.097
137,8.257,3490.642,2550.524,5521.000,23.199,13.401
138,17.545,4498.361,2684.034,5467.762,28.610,29.397
139,7.569,3950.776,3285.286,5318.000,-19.290,12.429
140,17.545,4576.882,3327.664,5379.728,-17.354,29.496
141,6.881,3837.264,3236.776,5186.000,34.509,11.389
142,16.169,4571.896,3318.250,5485.977,36.119,26.866
143,6.192,3841.840,3240.277,5257.000,-30.964,10.260
144,18.233,4649.276,3243.627,5500.380,-36.431,30.618
145,6.537,3823.316,3143.000,5519.000,0.000,10.558
146,16.169,4585.617,3160.000,5499.000,0.000,26.981
147,7.913,3857.922,3395.066,5140.000,35.838,13.023
148,17.201,4571.035,3498.693,5633.194,37.569,28.860
149,6.881,2922.877,2313.205,4503.000,15.524,10.957
150,16.513,4253.910,2289.249,5468.907,17.281,27.642
151,7.225,3827.423,3452.245,4350.000,32.905,11.876
152,17.545,4545.602,3338.000,5486.400,36.870,29.327
153,7.569,3770.198,3064.782,5104.000,-25.346,12.331
154,15.825,4426.660,3075.673,5428.037,-24.864,26.505
155,6.537,3340.444,2908.500,4302.000,-42.709,10.377
156,16.169,4301.426,2966.654,5184.189,-42.357,26.987
157,6.192,3387.081,2903.395,4102.000,23.629,10.243
158,16.857,4408.878,2880.344,5536.688,22.249,27.884
159,6.881,3691.488,3165.693,4881.000,-36.254,10.910
160,17.201,4446.442,3166.604,5163.143,-34.992,28.638
161,6.537,2881.601,2386.667,3879.000,42.709,10.377
162,16.857,4193.320,2384.722,5613.056,33.024,27.982
163,6.537,3408.801,2746.056,5057.000,33.690,10.574
164,17.201,4373.797,2744.102,5346.286,34.992,28.638
165,7.225,3854.612,3409.600,4921.000,8.531,11.862
166,18.233,4516.576,3454.000,5366.648,12.171,30.601
167,6.881,3153.562,2784.427,4472.000,-25.201,11.020
168,19.265,4370.627,2788.595,5571.099,-19.093,32.276
169,7.225,3876.743,3471.000,5128.000,11.310,11.963
170,17.201,4513.275,3440.814,5402.990,10.620,28.644
171,8.601,3541.707,2805.250,5639.000,34.992,14.319
172,17.201,4393.032,2867.698,5624.265,28.142,28.602
173,5.848,3308.221,2989.750,3979.000,82.875,9.458
174,17.201,4473.445,2981.932,5517.976,75.677,28.452
175,5.848,3362.215,3083.000,3998.000,-26.565,9.181
176,16.857,4524.333,3070.000,5582.958,-28.706,28.087
177,6.192,3647.389,3265.000,4590.000,0.000,9.971
178,16.169,4485.006,3351.548,5470.028,15.255,26.750
179,7.225,3648.676,3006.000,4793.000,49.086,11.642
