file,label,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity,solidity,diameter_nm
VLP17_0001.dm4,1,22927.0,3064.2785362236664,3190.878396650238,200.25121210958864,158.53879666081627,0.6109106363091907,0.8196117684910449,60.409926948752535
VLP17_0001.dm4,2,23974.0,2222.5034203720697,3266.333402853091,211.81459737309828,156.1223969264008,0.6758153166138451,0.8073413032497053,61.77388931030514
VLP17_0001.dm4,3,18047.0,80.82384883914224,1850.3233778467336,166.8870180989603,146.9195736063391,0.4743181233499082,0.8814163614163614,53.596595550556096
VLP17_0001.dm4,4,16044.0,1328.5656943405634,3122.240339067564,168.68700524093117,134.9887136487894,0.599690747123938,0.7699025864964729,50.5348547449013
VLP17_0001.dm4,5,16133.0,2989.7660075621397,440.10636583400486,171.70361538153247,128.32529097000491,0.6644135730642102,0.7962981243830207,50.674825512393724
VLP17_0001.dm4,6,21917.0,310.45599306474423,416.07240954510195,208.82532157432152,145.33615558914573,0.7180708754775532,0.7688556795060689,59.06432551234957
VLP17_0001.dm4,8,10009.0,3502.8318513337995,3100.8690178839047,151.56971206932096,93.06857268301606,0.7892815450169501,0.8507437314067149,39.914439926340926
VLP17_0001.dm4,9,15188.0,1381.8716750065842,254.40248880695285,167.36676270634888,126.10458226092514,0.6574908636214014,0.7722973660124072,49.168276965047156
VLP17_0001.dm4,11,12256.0,2901.787532637076,922.2377610966057,150.57494725892607,114.10394353611574,0.652500413343622,0.7823311630282139,44.16813598197553
VLP17_0001.dm4,13,10448.0,3557.7873277182234,3046.802067381317,155.06120457687456,93.60181727614051,0.7972537364521165,0.8203517587939698,40.780380819399674
VLP17_0001.dm4,14,10937.0,2289.928591021304,3142.003565877297,140.82370719511215,110.99411017357522,0.6154476927431386,0.7817168179543993,41.72379482627869
VLP17_0001.dm4,15,7781.0,2093.635779462794,3989.971725999229,132.09453079693398,81.06475289767855,0.7895490740560052,0.8436517402146807,35.19268503630054
VLP17_0001.dm4,20,5966.0,3721.596211867248,2269.773717733825,104.05845939931001,79.86296551998474,0.6410708289267703,0.8437279027011738,30.81600384129748
VLP17_0001.dm4,21,9382.0,3949.94883820081,1002.4264549136644,146.6390417993577,90.45589113871969,0.7870721894488445,0.8026349559414835,38.644029891918244
VLP17_0001.dm4,22,8389.0,3322.918226248659,3608.6719513648827,118.98791221505095,107.75024091260332,0.424226330609351,0.7654895519664203,36.541787880325224
VLP17_0001.dm4,24,7225.0,1261.109204152249,3040.9375778546714,110.76205482527624,87.73468424169909,0.61039063151833,0.8858509073075037,33.91201696180444
VLP17_0001.dm4,26,11031.0,432.34656876076514,2199.6802647085487,145.3834836046383,105.21575553327283,0.6901022401613884,0.7615464273386262,41.90271251730028
VLP17_0001.dm4,27,11425.0,305.35177242888403,1504.4217943107221,143.4997456108657,117.8767562762193,0.5702916822237257,0.7653403001071811,42.644477680466125
VLP17_0001.dm4,33,6689.0,277.602930183884,2542.7086261025565,106.99850722132027,86.08637734609808,0.5938756974097424,0.8353940302235544,32.629866206996866
VLP17_0001.dm4,34,8959.0,3370.8422815046324,1738.9595937046545,126.30120423314038,102.54884756041126,0.5837425745346105,0.8527508090614887,37.7628239023244
VLP17_0001.dm4,36,11539.0,768.1403934483058,3407.2163965681602,136.07500903552523,122.58940740647722,0.4340353834569977,0.7857142857142857,42.85670540483985
VLP17_0001.dm4,37,8345.0,2275.583343319353,378.4178550029958,112.03515289956881,98.44422536688175,0.4773918640994043,0.8651254405971387,36.445831718825254
VLP17_0001.dm4,38,6292.0,566.2776541640178,585.4311824539097,118.05872797241938,71.80510488951452,0.7937722295874202,0.8360350783948977,31.646745320284587
VLP17_0001.dm4,41,8978.0,1137.3986411227445,2884.8308086433503,128.52068782063807,98.22405516394205,0.6449005582203527,0.8115339419687245,37.802845871673995
VLP17_0001.dm4,43,4001.0,594.7610597350663,644.4101474631342,95.52781032786581,58.95751988099594,0.7868247356400763,0.828021523178808,25.235910050251743
VLP17_0001.dm4,45,7050.0,2436.748936170213,881.6357446808511,126.51359775685447,80.29459049922174,0.7727819421821468,0.7959805803319409,33.498800279390004
VLP17_0001.dm4,47,6589.0,866.995143420853,1890.7013203824556,104.84981346495704,86.56061706807064,0.5643031176728992,0.8799412393162394,32.38504082303742
VLP17_0001.dm4,49,6806.0,380.34734058183955,1899.3480752277403,114.26372219947346,90.01488083720699,0.6159544093295417,0.7630044843049327,32.91400020039001
VLP17_0001.dm4,51,4778.0,2019.198409376308,3444.075345332775,82.82102495134862,74.77337770784816,0.4299958450809952,0.9346635367762128,27.57768253090673
VLP17_0001.dm4,52,1715.0,3195.591836734694,4057.2787172011663,57.909050393397585,39.28697044983519,0.7346693010816998,0.9351145038167938,16.522157478388678
VLP17_0001.dm4,53,7374.0,2622.496067263358,133.2385408190941,118.49591531981383,88.25415102109416,0.6673028979343039,0.8227156086131876,34.25991346730196
VLP17_0001.dm4,55,3968.0,23.287298387096776,1777.0057963709678,94.98775689249592,61.70730222166872,0.760246876799871,0.8572045798228559,25.131622454670147
VLP17_0001.dm4,56,7749.0,387.32597754548976,3005.8580461995098,113.71448583070193,96.52533065395995,0.52865087882584,0.7966485041636682,35.12024407944374
VLP17_0001.dm4,60,3709.0,4054.6074413588567,22.744405500134807,88.91341279254308,56.250964669619634,0.7744388194089274,0.9130969965534219,24.297585091946623
VLP17_0001.dm4,61,5041.0,1473.4413806784369,1285.239039873041,91.6232205766266,71.2364598457306,0.6288909553538014,0.9132246376811595,28.326508285742534
VLP17_0001.dm4,63,5933.0,301.1618068430811,1027.893814259228,105.47007904746562,74.91369568499861,0.7039153550791661,0.8997573551713679,30.730658695943127
VLP17_0001.dm4,64,9704.0,1227.2404163231656,98.16065539983512,142.7307284270454,102.30571637417404,0.6973052550747264,0.7566471734892788,39.30158712984115
VLP17_0001.dm4,65,4033.0,3862.4274733449047,2787.0838085792216,83.16236778360845,64.73247001696151,0.6277852748334549,0.8970195729537367,25.336627477407998
VLP17_0001.dm4,66,8181.0,1816.160004889378,1738.859185918592,116.85131250940509,97.74574182626961,0.5479719027046421,0.8552163913861593,36.08592909114458
VLP17_0001.dm4,67,4992.0,69.25641025641026,2602.334935897436,82.66755530443633,77.71630846504728,0.340880792110703,0.9309958970533383,28.188501110730414
VLP17_0001.dm4,68,9310.0,837.4995703544575,2189.2960257787327,129.26926565764387,102.09214613890184,0.6134114711990512,0.7955225155942921,38.495461948030126
VLP17_0001.dm4,70,2323.0,1797.8390012914335,321.7447266465777,62.36822718235265,50.92857505292184,0.5772339095601915,0.9321829855537721,19.229115142593187
VLP17_0001.dm4,71,5170.0,2964.635976789168,137.81624758220502,93.37261651305532,77.26570272432429,0.5614678851744608,0.8241670652000638,28.68665871300113
