file,centroid_y,centroid_x,diameter_nm
VLP17_0001.dm4,17.479378682378147,2785.7402249598285,17.238792971008234
VLP17_0001.dm4,41.587525987525986,3044.73762993763,19.565557871423284
VLP17_0001.dm4,53.57439241256669,116.23888559573207,16.38672767391936
VLP17_0001.dm4,56.01411192214112,2933.2822384428223,18.085920112106777
VLP17_0001.dm4,80.04611111111112,200.11555555555555,16.92664740522716
VLP17_0001.dm4,88.59584035975267,459.9865092748735,16.82761894831747
VLP17_0001.dm4,129.67587285044294,3670.845752996352,17.47721313245264
VLP17_0001.dm4,124.5291387313048,362.6616812790098,17.56805165043973
VLP17_0001.dm4,129.73803363518758,614.0006468305304,15.686983504040073
VLP17_0001.dm4,141.7648864333947,101.11540822590547,16.10257153701543
VLP17_0001.dm4,158.836820083682,3567.408368200837,13.791726865833486
VLP17_0001.dm4,198.86021505376345,3247.288602150538,19.23739106944185
VLP17_0001.dm4,201.55561643835617,2875.579726027397,17.043788231348753
VLP17_0001.dm4,207.15505617977527,3157.120786516854,16.832347800159674
VLP17_0001.dm4,212.3877679697352,734.3203026481715,15.888623958251126
VLP17_0001.dm4,219.76346604215456,3708.156908665105,18.434596441551985
VLP17_0001.dm4,263.9160839160839,901.4335664335664,16.526973731946274
VLP17_0001.dm4,289.13367281985995,773.6473583704646,15.813310100994173
VLP17_0001.dm4,317.2049818370524,1006.5594187856772,17.513605078432946
VLP17_0001.dm4,480.3529411764706,1320.5537372843874,18.97077076529952
VLP17_0001.dm4,493.04116865869855,1213.617529880478,15.48271719128587
VLP17_0001.dm4,512.1770005299417,783.2458929517753,17.330881195502613
VLP17_0001.dm4,528.7597363690833,522.0419412822049,16.29907144396225
VLP17_0001.dm4,528.9471365638766,3777.638032305433,14.723913210653897
VLP17_0001.dm4,555.1296625222025,2960.3487270574306,16.396438328208014
VLP17_0001.dm4,603.4675324675325,3609.096221959858,16.420689840246194
VLP17_0001.dm4,625.2037756801777,3134.283731260411,16.931348598875708
VLP17_0001.dm4,630.1195542046606,922.7882472137791,17.725898951657395
VLP17_0001.dm4,659.7787325456499,315.4452201933405,17.21569394821037
VLP17_0001.dm4,660.4832061068703,413.57786259541984,14.440104724515546
VLP17_0001.dm4,699.262700228833,2784.1437070938214,18.649208984598754
VLP17_0001.dm4,808.8186813186813,767.210989010989,17.02042456274891
VLP17_0001.dm4,826.6321381142099,3636.1148738379816,15.48271719128587
VLP17_0001.dm4,925.3818277310925,2703.1323529411766,17.40877318884555
VLP17_0001.dm4,928.348142164782,835.8642972536348,14.037669634228498
VLP17_0001.dm4,955.1544303797468,3791.4886075949366,19.422667169268053
VLP17_0001.dm4,955.651536643026,726.7569739952719,18.348048562382267
VLP17_0001.dm4,1025.1970167806091,223.11062771908018,16.00341682858246
VLP17_0001.dm4,1081.2174567343868,3516.841234010534,14.544446066267088
VLP17_0001.dm4,1108.087570621469,3822.710451977401,18.387045521492634
VLP17_0001.dm4,1115.9525586353946,580.5015991471215,17.280293401999497
VLP17_0001.dm4,1216.135866736075,3448.3435710567414,17.486318219359653
VLP17_0001.dm4,1248.881736526946,750.0306886227545,14.582699419000663
VLP17_0001.dm4,1257.7226053639847,972.6996168582375,14.412520927170945
VLP17_0001.dm4,1267.3950421940929,2557.59388185654,17.372161637934713
VLP17_0001.dm4,1292.766476810415,2081.5183075671275,13.986551104465905
VLP17_0001.dm4,1320.6225863077823,2663.420713867759,16.493230422390635
VLP17_0001.dm4,1326.3918305597579,3783.1043872919818,14.506091837713633
VLP17_0001.dm4,1381.9193857965452,3298.925623800384,18.213086591205677
VLP17_0001.dm4,1474.5072655217966,2404.4887714663146,15.523785478789518
VLP17_0001.dm4,1477.947987616099,3602.848297213622,16.033227627772245
VLP17_0001.dm4,1508.76563321072,3919.6048344718865,17.404200956806392
VLP17_0001.dm4,1572.8553682342501,2743.967169476486,13.393579291197195
VLP17_0001.dm4,1597.5428571428572,3794.284807256236,18.734365632883918
VLP17_0001.dm4,1672.9752631578947,3563.6384210526317,17.3904770480168
VLP17_0001.dm4,1741.4402476780185,3187.8811145510836,16.033227627772245
VLP17_0001.dm4,1799.7483844911146,3361.7148626817448,19.852262780838906
VLP17_0001.dm4,1801.7158956109133,3451.3226571767495,16.38187018821195
VLP17_0001.dm4,1843.2057902973395,1061.442097026604,14.262646619419105
VLP17_0001.dm4,1869.4837209302325,3957.032558139535,18.499241630385512
VLP17_0001.dm4,1881.0866325104798,1173.8965999068469,18.48633067734338
VLP17_0001.dm4,1882.0902366863904,3545.944773175542,17.966714652818286
VLP17_0001.dm4,1908.068759342302,3772.6467364225214,17.873449653177893
VLP17_0001.dm4,1961.4415752098128,2827.7437056165268,15.702196357303867
VLP17_0001.dm4,2091.6752411575562,3677.862195682131,18.61503724909251
VLP17_0001.dm4,2127.895147796988,2758.9157836029003,16.893702418668123
VLP17_0001.dm4,2158.679746835443,1568.9664556962025,15.85854133620456
VLP17_0001.dm4,2209.094395280236,3717.7882005899705,16.42553584591175
VLP17_0001.dm4,2255.8195548489666,2916.3616852146265,14.150605240592505
VLP17_0001.dm4,2288.788072942336,3843.9127649088223,17.971143770265776
VLP17_0001.dm4,2301.778761061947,1571.0139064475347,15.868575213409773
VLP17_0001.dm4,2315.343234323432,1723.2250825082508,15.52891137804719
VLP17_0001.dm4,2430.8089519650657,3647.657205240175,17.076443665044323
VLP17_0001.dm4,2563.0109940448924,3970.3719651855245,18.640671923503845
VLP17_0001.dm4,2602.125508425334,3654.1307379430564,16.55103397722565
VLP17_0001.dm4,2604.1002475247524,3850.5018564356437,16.038190707175367
VLP17_0001.dm4,2664.064531780689,3588.2096069868994,18.112303671154354
